2026-04-30 10:36:58,142 | INFO | app.core.logger | 200. Usuario consultado
2026-04-30 10:36:58,146 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-04-30 10:39:04,219 | INFO | app.core.logger | 200. Usuario consultado
2026-04-30 10:39:04,224 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-04-30 10:39:19,583 | INFO | app.core.logger | 200. Usuario consultado
2026-04-30 10:39:19,585 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 14:54:37,977 | INFO | app.core.logger | 200. Usuario consultado
2026-05-04 14:54:38,205 | INFO | app.core.logger | 200. Token generado
2026-05-04 14:55:00,714 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 14:55:05,240 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 14:55:09,983 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 14:55:44,501 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 14:55:57,517 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:00:38,971 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 15:00:43,411 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 15:00:48,355 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 15:00:58,447 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:04:58,645 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:05:01,122 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:05:02,366 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:09:21,745 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 15:09:26,258 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 15:12:54,239 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:12:57,074 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:14:50,684 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:19:55,928 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 15:29:04,039 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:29:13,165 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:31:56,175 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:32:02,105 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 15:58:17,778 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:04:53,155 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:05:47,569 | ERROR | app.core.logger | 404. Productos no encontrado
2026-05-04 16:05:51,336 | ERROR | app.core.logger | 404. Productos no encontrado
2026-05-04 16:05:54,204 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:05:59,517 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:06:03,235 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:06:06,411 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:06:11,547 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:13:48,234 | INFO | app.core.logger | 200. Usuario consultado
2026-05-04 16:13:48,444 | INFO | app.core.logger | 200. Token generado
2026-05-04 16:14:28,892 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 16:14:31,992 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 16:15:18,403 | INFO | app.core.logger | 200. Producto reemplazado
2026-05-04 16:16:09,262 | INFO | app.core.logger | 200. Producto reemplazado
2026-05-04 16:21:44,402 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:21:46,408 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:21:53,783 | INFO | app.core.logger | 200. Producto registrado
2026-05-04 16:22:00,503 | INFO | app.core.logger | 200. Producto reemplazado
2026-05-04 16:22:38,833 | INFO | app.core.logger | 200. Productos filtrados
2026-05-04 16:22:48,317 | INFO | app.core.logger | 200. Producto reemplazado
